joke_id,user_id,rating
RE5tz52q,USF1001,8
RE5tz4dd,USF1001,8
RE5tz319,USF1001,7
RE5tz2wj,USF1001,9
JE1,USF1001,8
JE2,USF1001,8
JE3,USF1001,9
JE4,USF1001,9
JE5,USF1001,3
JE6,USF1001,4
JE7,USF1001,7
JE8,USF1001,5
JE9,USF1001,3
JE10,USF1001,7
JE11,USF1001,7
JE12,USF1001,4
JE13,USF1001,0
JE14,USF1001,3
JE15,USF1001,1
JE16,USF1001,6
JE17,USF1001,6
JE18,USF1001,0
JE19,USF1001,9
JE20,USF1001,0
JE21,USF1001,7
JE22,USF1001,6
JE23,USF1001,0
JE24,USF1001,10
JE25,USF1001,10
JE26,USF1001,6
JE27,USF1001,9
JE28,USF1001,10
JE29,USF1001,0
JE30,USF1001,8
JE31,USF1001,10
JE32,USF1001,2
JE33,USF1001,0
JE34,USF1001,10
JE35,USF1001,6
JE36,USF1001,9
JE37,USF1001,5
JE38,USF1001,10
JE39,USF1001,0
JE40,USF1001,10
JE41,USF1001,10
JE42,USF1001,10
JE43,USF1001,10
JE44,USF1001,10
JE45,USF1001,8
JE46,USF1001,10
JE47,USF1001,0
JE48,USF1001,10
JE49,USF1001,6
JE50,USF1001,10
JE51,USF1001,0
SS1,USF1001,1
SS2,USF1001,9
SS3,USF1001,9
SS4,USF1001,0
SS3473,USF1001,0
SS640,USF1001,6
SS2794,USF1001,8
SS1466,USF1001,10
SS2254,USF1001,10
SS120,USF1001,10
SS816,USF1001,10
SS554,USF1001,9
SS200,USF1001,3
SS282,USF1001,4
SS710,USF1001,3
SS163,USF1001,10
SS2559,USF1001,4
SS1424,USF1001,10
SS335,USF1001,10
SS536,USF1001,7
SS1581,USF1001,10
SS2510,USF1001,0
SS1395,USF1001,10
SS2795,USF1001,10
SS873,USF1001,10
SS964,USF1001,0
SS3579,USF1001,10
SS2055,USF1001,0
SS291,USF1001,10
SS1270,USF1001,0
SS3254,USF1001,0
SS1499,USF1001,10
SS1559,USF1001,9
SS3298,USF1001,0
SS3087,USF1001,0
SS2871,USF1001,10
SS3629,USF1001,0
SS1835,USF1001,4
SS1333,USF1001,10
SS1490,USF1001,8
SS2887,USF1001,10
SS2740,USF1001,10
SS1482,USF1001,10
SS1728,USF1001,9
SS442,USF1001,0
SS1555,USF1001,10
SS2842,USF1001,10
SS1066,USF1001,0
SS994,USF1001,0
SS587,USF1001,10
SS881,USF1001,0
SS1401,USF1001,10
SS950,USF1001,8
SS21,USF1001,10
SS3614,USF1001,10
SS941,USF1001,10
SS2771,USF1001,10
SS1365,USF1001,10
SS570,USF1001,10
SS431,USF1001,10
SS1460,USF1001,10
SS1877,USF1001,3
SS2382,USF1001,5
SS507,USF1001,6
SS2942,USF1001,4
SS1342,USF1001,10
SS2566,USF1001,0
SS2914,USF1001,3
SS1774,USF1001,10
SS1871,USF1001,10
SS2824,USF1001,10
SS638,USF1001,7
SS1076,USF1001,8
SS1246,USF1001,10
SS393,USF1001,4
SS523,USF1001,5
SS2605,USF1001,10
SS1651,USF1001,10
SS288,USF1001,10
SS2827,USF1001,10
SS2598,USF1001,4
SS1003,USF1001,5
SS1500,USF1001,10
SS2784,USF1001,10
SS417,USF1001,10
SS961,USF1001,10
SS598,USF1001,10
SS716,USF1001,10
SS2653,USF1001,10
SS2476,USF1001,10
SS1292,USF1001,10
SS3354,USF1001,10
SS600,USF1001,10
SS1012,USF1001,3
SS1097,USF1001,7
